name	LWR	fract	aLWR	afract	taxopath
c0ee05a51c4c7b53c3871a898a1685ceae0232cb;size=15	0.9696	0.9791	0.9696	0.9791	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
850859d78acc3eda25cb282457af71d04f08b09d;size=261	0.98	0.9862	0.98	0.9862	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
5a09367e9587fe528d9cc3b82d108fdee3e28028;size=212	0.7101	0.7125	0.9208	0.9239	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
b4ac521dda3fada3f64dd1aec53b9a60c0c5bbff;size=13	0.9606	0.9608	0.9606	0.9608	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
a5a642dd4be171e7cc3861d8cf2f2e3f813a5923;size=25	0.9905	0.9909	0.9905	0.9909	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
fff550575a912bebb9bcec21170d8c202b7bbe41;size=36	0.8488	0.8547	0.8646	0.8706	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
97f3418d80c7f2991c2db87c3953140c4a16422d;size=56	0.9605	0.9624	0.9605	0.9624	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
ad1ba0ee0148f29704af0e39e414661704673cda;size=57	0.9677	0.9678	0.9677	0.9678	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
49900b404d5a47e2de19cc1a0c8f4151d9493bd0;size=181	0.9709	0.9709	0.9709	0.9709	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
abd0368501db5d22a436a4329ecffceaf47d02d6;size=19	0.9542	0.9565	0.9543	0.9566	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
dccbef96744f6541a173d9e9e43cc7f9149f1c29;size=18	0.9836	0.9837	0.9836	0.9837	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
4f84c2c0855c15ae005994561c826af44be085cf;size=35	0.9393	0.9452	0.9393	0.9452	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
308335d6ef049e1a3242fea8fa937b4ab2d998c4;size=374	0.9101	0.9355	0.9117	0.9372	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
99cb4e0c2252e0fb3fde105a4da0f1d25056200b;size=64	0.9227	0.9234	0.9227	0.9234	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
e73d6ab02142c9353b362d9d15d45f9b0a8db17a;size=11	0.9946	0.9964	0.9946	0.9964	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
6909fc4caed1c2b625cc54665e1457df49ab3341;size=699	0.9657	0.9657	0.9657	0.9657	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
6d943dca556909431f7abafbb2477bc2ec92321a;size=14	0.9417	0.9513	0.9418	0.9514	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
fe3c5581c77496ae877aa54fa5b4ba91875858c6;size=13	0.973	0.9864	0.973	0.9864	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
de501251b7583fefee3a8914cf05a367d6c5cc24;size=284	0.9589	0.9589	0.9589	0.9589	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
316ba034a2768d171b5412fd05d8440f768a715c;size=514	0.9719	0.9722	0.9719	0.9722	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
30a63c1ac06794a986d351b6e881661e53323ba1;size=91	0.7836	0.9539	0.7936	0.966	Eukaryota;SAR;Alveolata;Perkinsea
7ffdb932ac58524dbc11238b226cb0499edceeff;size=11	0.7952	0.8138	0.9614	0.9839	Eukaryota;SAR;Alveolata;Perkinsea
274e064ce6cddd24701be5ae377357458f23e250;size=48	0.9073	0.9415	0.9424	0.9778	Eukaryota;SAR;Alveolata;Perkinsea
a8e9838470f71682192dfe30ea37b448343a6a93;size=203	0.9674	0.9728	0.9712	0.9766	Eukaryota;SAR;Alveolata;Perkinsea
0e66d61088d6e5df91f4e2cc2ba4fe1f0c819c66;size=153	0.7975	0.874	0.8851	0.97	Eukaryota;SAR;Alveolata;Perkinsea
c349b3d52067644002864597dc67cdf569c07c88;size=10	0.8624	0.8752	0.9504	0.9645	Eukaryota;SAR;Alveolata;Perkinsea
44ec05b27b0a043842e84042caec52c4b6666115;size=108	0.9377	0.9773	0.9377	0.9773	Eukaryota;SAR;Alveolata;Perkinsea
6c394e33b5ea990d2c2da2ac14c9e13ae48d47e1;size=11	0.7964	0.8101	0.9737	0.9904	Eukaryota;SAR;Alveolata;Perkinsea
3a8cd201bb3d9cc04b8bb8c75ed5c6b6103ef4fd;size=73	0.807	0.9345	0.841	0.9738	Eukaryota;SAR;Alveolata;Perkinsea
89fcd7cb9ea9686ed3e5a5e774f2d9f19f2ab8a3;size=37	0.956	0.9768	0.9649	0.9859	Eukaryota;SAR;Alveolata;Perkinsea
b9a39c06f12873ebf2666a175bd6d588da29195e;size=11	0.8504	0.8675	0.9705	0.99	Eukaryota;SAR;Alveolata;Perkinsea
0019f2558fe02becc74ddd9075565db2341cdb2d;size=52	0.9261	0.9393	0.9262	0.9394	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
0e6d1db5e3b3cded5e791448962a5e9f60f1cc5a;size=114	0.9573	0.96	0.9576	0.9603	Eukaryota;SAR;Alveolata;Perkinsea
04338f8afb0537de11e6732f209f5432e03cc3bf;size=250	0.9287	0.9298	0.9288	0.9299	Eukaryota;SAR;Alveolata;Perkinsea
d57c6c45eb8ee0868d340c6ba956e660d5b24576;size=188	0.8878	0.8878	0.9559	0.9559	Eukaryota;SAR;Alveolata;Perkinsea
4115e142a99d77e709d7553dd53923f9b3ac92f4;size=209	0.8296	0.8296	0.9827	0.9827	Eukaryota;SAR;Alveolata;Perkinsea
b15d3426b19cc1bdacdf7913466c948c3b359539;size=16	0.5199	0.5199	0.52	0.52	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
98522683e37f46852fa4ad4143fa3626b5e7b538;size=248	0.7005	0.7005	0.7006	0.7006	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
e73d65e84bd7eeee22b621548bd7ad9f369da2b5;size=13	0.8776	0.8776	0.9573	0.9573	Eukaryota;SAR;Alveolata;Perkinsea
3fe99f28ec69defa1fb5113bd1ebde7b36d1b6a5;size=94	0.3891	0.3929	0.3891	0.3929	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
0040cf83740ed5970060ed581d8c682edfb1c34c;size=19	0.914	0.9229	0.9544	0.9637	Eukaryota;SAR;Alveolata;Perkinsea
2668a86d5142f32e0e4c45c8c47f5b189b20e6d2;size=42	0.9024	0.9272	0.9097	0.9347	Eukaryota;SAR;Alveolata;Perkinsea
b95eacad2d5c9e289490b2506dfb960419cb32b4;size=91	0.6271	0.6302	0.9121	0.9167	Eukaryota;SAR;Alveolata;Perkinsea
8fdbaf0d9ed040866f1f74e8ec37b31be2866b38;size=970	0.7092	0.7092	0.9825	0.9825	Eukaryota;SAR;Alveolata;Perkinsea
5dcadfdb40a9731210a53946916251d7400f5f2d;size=20	0.4045	0.4052	0.5239	0.5248	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
18bba9fc96d41d642f51bb301383ff8472ba59be;size=86	0.5295	0.5295	0.9237	0.9237	Eukaryota;SAR;Alveolata;Perkinsea
eebb786933763ea8e4993036edc426086c6aad68;size=80	0.6279	0.6279	0.9903	0.9903	Eukaryota;SAR;Alveolata;Perkinsea
4bda11dd029c37b90c3aff8d2d3ba575736c72c2;size=97	0.9537	0.9537	0.9836	0.9836	Eukaryota;SAR;Alveolata;Perkinsea
9a763cb0214d1108ee05c581c4eb15d58fb3ac2f;size=12	0.9814	0.9815	0.9815	0.9816	Eukaryota;SAR;Alveolata;Perkinsea
1671bf7afa305062f1ae65e8f8a14d0da4bdb4e8;size=20	0.7906	0.7967	0.7906	0.7967	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
51d39505110e79845841d5bee8b80c7f03e1971f;size=18	0.6251	0.6283	0.6251	0.6284	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
3fd4ad7af760d4b30d7db52472c1be6480bf292f;size=39	0.9646	0.9691	0.9784	0.9829	Eukaryota;SAR;Alveolata;Perkinsea
20ed71afb15df3d1a2c60b4de9c6d2d5c0993e61;size=258	0.892	0.8991	0.9506	0.9582	Eukaryota;SAR;Alveolata;Perkinsea
da9be595fb3f7803ee220261ca7f5bd9be45a720;size=19	0.9845	0.9854	0.9859	0.9868	Eukaryota;SAR;Alveolata;Perkinsea
a657733bb06633982e037f702ca24ff5855bfd85;size=55	0.4832	0.4881	0.4833	0.4881	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsidae
8ddccea4467c1bfc6bfd4b9e0fb120067faf3287;size=17	0.939	0.9422	0.9636	0.9669	Eukaryota;SAR;Alveolata;Perkinsea
95809f485c4338368f6e9d0ea2753b943a0260c0;size=74	0.9048	0.9048	0.9869	0.9869	Eukaryota;SAR;Alveolata;Perkinsea
d032d267b37e3b6572e9a40362151fbff1cc08a9;size=36	0.983	0.983	0.9831	0.9831	Eukaryota;SAR;Alveolata;Perkinsea
8cb41f8d4be742ee5dfd7a609ca3e16fca88587f;size=33	0.9584	0.9594	0.9608	0.9618	Eukaryota;SAR;Alveolata;Perkinsea
be53f85ca28429b3aed6c77f7e0b86b1d6e82596;size=16	0.6927	0.6927	0.9791	0.9791	Eukaryota;SAR;Alveolata;Perkinsea
9b880e5c543429c9efa8c64c91aeb7edad3455bb;size=971	0.779	0.779	0.9476	0.9476	Eukaryota;SAR;Alveolata;Perkinsea
cbb17d7e7bf24eb647f7569378bfc9e0cda2d028;size=10	0.4638	0.4638	0.9229	0.9229	Eukaryota;SAR;Alveolata;Perkinsea
