project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
Tara_Oceans	BZM_AAYEOSTA_2_1_H32WHBCX2.12BA028	5097	641894	34.1504	-56.9684	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAYFOSTA_2_1_H32WHBCX2.12BA040	5007	764748	34.0771	-49.8233	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAYIOSTA_2_1_H32WHBCX2.12BA076	4601	573588	29.8556	-79.6493	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAYJOSTA_2_1_H32WHBCX2.12BA088	3363	883754	-20.4075	-3.1641	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_ABBTOSTA_2_1_HTNJVBCXY.12BA220	2353	344509	-2.0461	72.1573	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABCFOSTA_2_1_HTNJVBCXY.12BA269	2625	355520	-0.6625	73.1611	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABDNOSTA_2_1_HTNJVBCXY.12BA202	1851	321845	29.7902	-79.6437	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABDSOSTA_2_1_HTNJVBCXY.12BA262	1697	289159	9.8432	-80.0621	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABIROSTA_1_1_HYGGYBCXY.12BA307	764	337061	-63.3815	-56.8047	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABKROSTA_1_1_H32WHBCX2.12BA053	4695	568387	4.6599	73.4856	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABKTOSTA_1_1_H32WHBCX2.12BA077	2643	491481	-23.1571	-135.0182	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABLPOSTA_1_1_H32WHBCX2.12BA056	4187	508829	-23.0244	-134.9228	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_ABMIOSTA_1_1_H32WHBCX2.12BA094	3605	550830	5.9998	73.9067	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABOOSTA_1_1_HV57HBCXY.12BA165	1298	283550	78.9354	79.0604	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABOOSTA_2_1_HV57HBCXY.12BA165	1307	284099	78.9354	79.0604	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABPOSTA_2_1_HV57HBCXY.12BA177	2685	278110	79.2026	66.4827	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZP_AABSOSTA_1_1_HV57HBCXY.12BA118	1234	233665	74.8283	76.2096	Marine	Epipelagic zone	marine_epipelagic
