Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,8c640e5486cc801b050067002a659ffd2d79390c;size=12,1,0.911899,0.0292461,0.0252652,0.0215601,0
epa_result,60b1d5ea47e7dd1f3e9705775af376630752f882;size=11,1,0.740793,0.0919769,0.0795952,0.0463751,0.040006
epa_result,e823fb81d263ce8786e75badb0f0f44bc52e5e6e;size=287,1,0.460373,0.166673,0.153153,0.145938,0.0604304
epa_result,d32b0fb2f88c6864a7e7a5f0e77eb4437abdfb37;size=67,1,0.971079,0.0140345,0.0130219,0,0
epa_result,b4133f2f613d9f237b36a16c6dc1511d4085688f;size=45,1,0.687636,0.191431,0.0592124,0.0255371,0.0238346
epa_result,e1feb63213dca664d7d1b14d97877930a5d6b3ee;size=20,1,0.345425,0.183076,0.182816,0.163196,0.0918867
epa_result,77b9431b147a5495e85093bc8e50dd24d1b71ebf;size=870,1,0.767962,0.124963,0.0764246,0.030651,0
epa_result,2cab0e1a84161ef0aa3ba4a4979deee271d15b0e;size=14,1,0.454095,0.165288,0.143754,0.133293,0.0605631
epa_result,cdf5465bf98f09ec8fa510c35f65b3172b9b6caf;size=13,1,0.43133,0.429029,0.103271,0.0183395,0.0178165
epa_result,b8ad193dc80b1218af10410b2531d994bddfc216;size=282,1,0.411445,0.410559,0.141887,0.0139927,0.0137045
epa_result,11815dfd2b5c8654f552aa52ed1040ee63259902;size=84,1,0.633203,0.362579,0,0,0
epa_result,1c13c3599208031a78311b8164443b719ddc4dea;size=18,1,0.792696,0.141032,0.0422886,0.0192117,0
epa_result,31af61f4df6b91cad9bd6c3fdab03dadc64f3eac;size=27,1,0.904253,0.0660291,0.010027,0,0
epa_result,1fe12e1614878005c344e956fa02324590bb87a9;size=11,1,0.911192,0.0534128,0.0155635,0.0101772,0
epa_result,0c4b5a515cb7d763eefe88c58d4dd7ab7fc86e3f;size=12,1,0.446019,0.444645,0.0679082,0.0146235,0
epa_result,ab1c7ed19ac1a199041de59a865ab049ee0a5cf3;size=28,1,0.753645,0.242339,0,0,0
epa_result,af5bfb7569a415b143dc26bae958d8317da34619;size=11,1,0.621256,0.310036,0.0270359,0.0175254,0.0166278
epa_result,a795203c97df4d3ed4f7006f157f8d88f3c1a60c;size=13,1,0.820272,0.174594,0,0,0
epa_result,bdfa050204be1c1e307dfac62b1e04a584f27929;size=158,1,0.864713,0.134261,0,0,0
epa_result,132bd78aaf1b823d9ee02c431458be72e560bf47;size=693,1,0.375671,0.375112,0.229266,0.0100704,0
epa_result,743f123a30a0ba254bc2e83c21c1dbdd7a3ae1d6;size=136,1,0.536401,0.201702,0.115117,0.114823,0.0132431
epa_result,01c13838411c772418e54939536b8b56a74625e4;size=43,1,0.591191,0.397176,0.0106472,0,0
epa_result,7f2a3f369803601b8259c2033325e37c83823928;size=24,1,0.456164,0.455672,0.0871802,0,0
epa_result,850982e6008bd33a2f0bbbdbc4ad81186fbd749f;size=501,1,0.586699,0.255894,0.155996,0,0
epa_result,c536f4990ae378468cb36280fa10ae784d7eb0ec;size=29,1,0.735337,0.257923,0,0,0
epa_result,46ca3819d725c14b32f527cec04d2dc48342d9ff;size=13,1,0.450824,0.254218,0.1312,0.130876,0.0156029
epa_result,82af52c1de495a5572c70bdcf6715b33cdf1f0bf;size=13,1,0.879161,0.107941,0,0,0
epa_result,f12ef025a9bafb5f4918f956e4f711a98950b5b4;size=28,1,0.346899,0.317893,0.149708,0.149326,0.0173032
epa_result,e3db0d3a29430b026acaa1e384546b7b1debf711;size=33,1,0.704038,0.231334,0.0516564,0.0129052,0
epa_result,2362b3add85a925c97e405e3adf2f6bcec062882;size=232,1,0.647823,0.220869,0.130026,0,0
epa_result,c86f5dcbaed716e4825e488d689f5896c25d73fa;size=91,1,0.932424,0.0675574,0,0,0
epa_result,345d12bbb01a3081500ce281970e534ef710fa81;size=16,1,0.774907,0.072205,0.0721343,0.0592051,0
epa_result,e6532652991fe9aa36e2218ad5f928eabb613406;size=10,1,0.620221,0.238235,0.0882646,0.0513153,0
epa_result,e171e34a175b7f5405d9cef0d1360744961e80f1;size=124,1,0.989673,0,0,0,0
epa_result,6386d44f78e90e91bb996bdd2e27e657b46e9c10;size=43,1,0.362862,0.266084,0.128609,0.128339,0.0718753
epa_result,aae3dc39ec26a29d74bea40879ea967de356f9ba;size=830,1,0.999948,0,0,0,0
epa_result,c0b3ad232c50873f5c3a368d59c5d780033bc9e5;size=800,1,0.775637,0.214777,0,0,0
epa_result,0a203b461eb857df252971debcac8b68b5fee8bb;size=17,1,0.470786,0.470108,0.059101,0,0
epa_result,274a5ba3600973f92abfdc200e87f3b3dbdad14e;size=21,1,0.464748,0.306013,0.139765,0.0226889,0.0142364
epa_result,e025d7fbaa26b09af5eac962ae1287b2590fd124;size=19,1,0.404989,0.401004,0.192074,0,0
epa_result,830fa308d10c34a1adf01ed64d6596a49317b0cb;size=68,1,0.884043,0.0872731,0.01718,0,0
epa_result,43499bc4f9a78a930911b9835f0e3051a9e1b948;size=2990,1,0.299657,0.229128,0.223479,0.109172,0.0507304
epa_result,a9632e81948668d79830d7240ef1367f8aecbd45;size=103,1,0.230796,0.141479,0.12863,0.128191,0.109461
epa_result,968f83e7dba257c5dc438254f856f3bf4a313d48;size=16,1,0.847349,0.0713178,0.0520541,0.0165729,0
epa_result,6fae17392f1d5a0b34531a932d38b3ad4dc2219c;size=209,1,0.482505,0.157216,0.11883,0.0502165,0.0466811
epa_result,dc10fd91412eaa0f5a60bab13fbb055da076ede9;size=28,1,0.990427,0,0,0,0
epa_result,9bc4003e872992803d3ae0245fe9a79d0b06c58b;size=10,1,0.956127,0.0155698,0.014796,0,0
epa_result,6d8aa95d2f5131351eb8fd2e32d8a6f424755f27;size=31,1,0.251824,0.207655,0.171344,0.0739561,0.0523038
epa_result,e14483ba98e9f3d56e3b47d4d8863a7725f3c271;size=102,1,0.998471,0,0,0,0
epa_result,a45c628b4748b91a5d13dab1e8c72dbdaa510c06;size=22,1,0.740324,0.0763912,0.0724324,0.0650849,0.0322845
epa_result,e9dd11c9695b50056f8b66e1ce2c5074e56a50d8;size=245,1,0.314231,0.310185,0.14853,0.0783754,0.0625475
epa_result,9bb7147a4f9d76a26a9a91a6ec7d6bdbbdf5caeb;size=18,1,0.360639,0.358512,0.114956,0.0432041,0.0366896
epa_result,c0bdfca399377836476143d82b0cc3665efd0d2b;size=74,1,0.691665,0.301298,0,0,0
epa_result,f01dd32e4929a9662c957ce50b1a96b6132ffb03;size=27,1,0.885054,0.03115,0.0180516,0.0179137,0.0178731
epa_result,39332bc58fb9ad88458a955cdbf3a288f8a242e2;size=3831,1,0.792887,0.0874746,0.0393679,0.0293821,0.0291247
